 Planeta      v0 (UA/ano)             T^2/R^3
 Mercurio     10.061148632539163       0.99999999999999989     
 Venus        7.4048048969306102       0.99999999999999989     
 Terra        6.2831853071795862        1.0000000000000000     
 Marte        5.0963362487929960        1.0000000000000002     
 Jupiter      2.7553590302269777        1.0000000000000000     
 Saturno      2.0670162113025627        1.0000000000000002     
 Urano        1.4343078687082953        1.0000000000000000     
 Netuno       1.1460020123254901        1.0000000000000000     
 Plutao      0.99934734082975973        1.0000000000000002     
